situation,h_corrected
150_a,192.21032622833195
150_b,192.91321279896297
150_c,188.991181423899
150_d,190.16987780147835
200_a,185.15909915426658
200_b,184.68129879227348
200_c,183.25861312790846
200_d,183.87008285854478
250_a,177.31622114412914
250_b,180.37798739055467
250_c,175.49163042493484
250_d,175.55732353792962
300_a,171.21962589737763
300_b,171.32145118182308
300_c,168.36932374795845
300_d,169.9956647777326
350_a,154.43072825389646
350_b,155.83258743632342
350_c,153.78167300680082
350_d,154.0236285698781
400_a,153.05819018710446
400_b,154.19328141790845
400_c,153.0152661459107
400_d,152.15594113483553
450_a,146.78258888187133
450_b,146.6510012021183
450_c,141.85468447577546
450_d,140.32748268026592
500_a,137.6453896269049
500_b,138.2043374834691
500_c,138.98497561379958
500_d,138.83201464903598
550_a,135.58037823045095
550_b,136.37961246176573
550_c,135.95496231772637
550_d,134.0220086598071
600_a,130.6788474795684
600_b,129.96779483673578
600_c,128.13854669838858
600_d,130.5648414372045
