situation_depth,situation_height,letter,person_index,depth,height
220,155,A,1,231.3387280428762,166.87735287149522
220,155,B,1,234.96115526709673,165.33073502444358
220,160,A,1,230.3388995439357,169.55390853206922
220,160,B,1,228.57614336594708,172.28463802812408
220,174,A,1,237.66050532974114,183.31916148991985
220,174,B,1,247.3245714757774,184.1816840875354
230,127,A,1,246.19963685920507,122.00755643255506
245,140,A,1,257.47258059553457,132.622728243071
282,170,A,1,297.4541786237997,177.55952009597078
330,103,A,1,325.8148632562137,103.32791965633949
330,131,A,1,335.20673856850897,115.22086958918646
330,158,A,1,329.11127548486144,155.77826797184036
385,168,A,1,378.6790183391328,163.27868450040933
395,123,A,1,370.4810226977243,101.46810239681136
395,153,A,1,376.94165725133684,137.40031051842766
395,167,A,1,379.67639439157193,158.86656382814093
457,112,A,1,425.3036426228538,87.07710487707276
457,129,A,1,412.4054637295579,102.95525062428305
457,173,A,1,428.6516492403664,154.08034952356826
492,133,A,1,442.89840705736543,111.06626655875824
500,143,A,1,454.9345230600124,112.66237811776111
538,103,A,1,467.0766920124561,78.4139346787757
538,123,A,1,464.5799308961194,93.55289547020219
538,140,A,1,463.6778252402911,114.36585989002947
620,124,A,1,508.06200538495045,88.28956633895122
620,162,A,1,510.0351830216041,123.03194606089143
620,179,A,1,499.17762582260553,139.71074422070524
