situation,letter,person_index,depth,height,true_height,method
85,A,1,296.39675771040805,75.06042118676193,85,RAFT-STEREO
85,B,1,290.60216579443767,77.12391839338,85,RAFT-STEREO
85,C,1,295.200643425518,81.19186440850014,85,RAFT-STEREO
125,A,1,306.0828850773997,123.17852826584432,125,RAFT-STEREO
125,B,1,301.2324884067874,123.43302387296224,125,RAFT-STEREO
140,A,1,309.3863154184091,137.78356897621407,140,RAFT-STEREO
140,B,1,309.56756504371185,138.33808173611357,140,RAFT-STEREO
140,C,1,310.4959070087449,137.01232073549826,140,RAFT-STEREO
140,D,1,310.0587167949442,136.86648059356713,140,RAFT-STEREO
150,A,1,300.8895785434063,142.60250544488142,150,RAFT-STEREO
150,B,1,301.42454851694043,141.71415045578442,150,RAFT-STEREO
157,A,1,313.70407889649283,155.26912864162762,157,RAFT-STEREO
173,A,1,306.7558037885053,170.22306613037716,173,RAFT-STEREO
173,B,1,305.0166002776723,168.21347044998817,173,RAFT-STEREO
85,A,1,295.8087583116117,75.09011419014999,85,SELECTIVE-IGEV
85,B,1,297.79704611012085,74.70897843988504,85,SELECTIVE-IGEV
85,C,1,287.474835827055,75.40243277479993,85,SELECTIVE-IGEV
125,A,1,298.57327557976964,121.57079328288398,125,SELECTIVE-IGEV
125,B,1,298.6076560735541,122.48923642431376,125,SELECTIVE-IGEV
140,A,1,307.5380287057221,136.48753375565107,140,SELECTIVE-IGEV
140,B,1,308.5206991525256,137.14359315631506,140,SELECTIVE-IGEV
140,C,1,308.5139785557696,135.94466018492514,140,SELECTIVE-IGEV
140,D,1,308.83571150333864,136.87320939745007,140,SELECTIVE-IGEV
150,A,1,300.0503844070232,140.53480113201636,150,SELECTIVE-IGEV
150,B,1,301.3104143552241,141.68092669046848,150,SELECTIVE-IGEV
157,A,1,320.866438484604,154.38489469564567,157,SELECTIVE-IGEV
173,A,1,306.028730841505,170.7484361145921,173,SELECTIVE-IGEV
173,B,1,304.9181381495606,168.2304759607726,173,SELECTIVE-IGEV
85,A,1,297.9610924134423,68.20271249498091,85,WLS-SGBM
85,B,1,288.51604048623534,70.67091911833886,85,WLS-SGBM
85,C,1,289.20425341495354,75.10849228195724,85,WLS-SGBM
125,A,1,306.97877295582487,124.25411486180369,125,WLS-SGBM
125,B,1,303.1058452283873,124.182493951531,125,WLS-SGBM
140,A,1,315.7703195023487,139.7490877794512,140,WLS-SGBM
140,B,1,314.4946188765255,139.59706642420497,140,WLS-SGBM
140,C,1,313.352890146297,138.06554747447083,140,WLS-SGBM
140,D,1,314.2864250734275,138.92607335787878,140,WLS-SGBM
150,A,1,302.0904557877782,143.4453140559119,150,WLS-SGBM
150,B,1,302.19257949966675,143.12310419071366,150,WLS-SGBM
157,A,1,319.2497543992848,157.48277698565482,157,WLS-SGBM
173,A,1,321.44342199557053,172.10736729270877,173,WLS-SGBM
173,B,1,315.013710193797,170.69177544876516,173,WLS-SGBM
