situation,z_estimation
150_350_a,57.90637461344401
350_150_a,107.6138224882238
150_350_b,57.59456736246745
350_150_b,107.68804258458755
160_a,63.60193143572126
160_b,63.491584232875276
160_c,66.98242891751804
176_a,66.68736149714543
176_504_a,66.54465746879578
504_176_a,139.1172860952524
176_504_b,67.70432353019714
504_176_b,138.93073214017429
204_722_a,73.7704651776482
722_204_a,160.4000378776999
204_722_b,74.02866991828469
722_204_b,159.9316244686351
240_a,88.34988520695613
240_b,87.48345008263222
250_350_a,85.31325396369485
350_250_a,106.9594529095818
250_350_b,85.62271566951976
350_250_b,107.13535263959099
298_604_a,100.51912419936237
604_298_a,144.22073498894187
298_604_b,97.53707706227021
604_298_b,145.42221641540527
