situation,h_estimation,z_estimation
125_a,37.176440477371216,306.44382665740466
125_b,36.687437891960144,304.48908988536164
140_a,40.63088655471802,319.49035573266895
140_b,40.80114459991455,317.7002969556636
140_c,40.67830753326416,318.30914088451686
140_d,40.38975811004639,317.079216793664
150_a,42.70608568191528,304.9877659791487
150_b,42.80416488647461,303.2400174644926
157_a,46.819725036621094,307.86764103135965
173_a,51.00311088562012,317.23650640185775
173_b,49.92072296142578,316.3427625052642
85_a,20.979802131652832,292.42787464582403
85_b,21.929033279418945,283.9731680281744
85_c,21.98556423187256,285.0890167420921
