situation,z_estimation_1,z_estimation_2,z_estimation_3
150_front,127.18748419625419,,
150_bodyside_variant,108.03595586923453,,
150_500,103.98217500959124,805.959228515625,
200_front,175.83799600601196,,
200_shaking_hands_variant,172.23514204758865,183.64737854003906,
200_400_front,171.28144931793213,613.6453683035714,
200_400_sitdown,196.11749985638787,,
200_400_sitdown_side_variant,191.19791957310267,522.9552205403646,
250_front,237.44464800434727,,
250_oneback_one_front_variant,239.4562004937066,,
250_side_variant,242.871335543119,236.13427873091265,234.0078582763672
250_350,232.10363540649413,,
250_500,256.0933271135603,805.959228515625,
250_600,251.44761657714844,241.19110107421875,
250_600_perspective_variant,212.63203664926382,701.711415608724,802.6425170898438
300_front,353.90028381347656,342.35845712515027,
350_front,491.89522845928485,478.39836502075195,
350_side_variant,424.86677169799805,463.68139212472096,
400_front,634.4769897460938,,
400_oneside_variant,,,
400_120cm_h_variant,,,
450_front,796.1118600027902,781.1162458147321,
450_side_variant,785.3125,,
450_600,781.7543538411459,799.1605590820312,
500_front,801.7295619419643,805.959228515625,
500_oneside_variant,805.959228515625,802.6829732259115,
550_front,793.8749084472656,802.2897567749023,
550_oneside_variant,801.0145034790039,,
600_front,800.4583468967014,806.0590698242188,
600_oneside_variant,801.0145034790039,,
