situation,z_estimation_1,z_estimation_2,z_estimation_3,z_estimation_4
150_front,126.9617840903146,,,
150_bodyside_variant,108.00774765014648,,,
150_500,104.70686340332031,548.7386949327257,,
200_front,175.39942836761475,,,
200_shaking_hands_variant,173.65200240523725,183.74771423339843,,
200_400_front,172.95535547593062,573.9869791666666,,
200_400_sitdown,196.07635498046875,570.7169121636284,,
200_400_sitdown_side_variant,191.52886199951172,551.4859064275569,,
250_front,236.97170085291708,,,
250_oneback_one_front_variant,237.085289284035,,,
250_side_variant,242.94613647460938,234.36585521697998,,
250_350,232.22301177978517,458.2746327718099,,
250_500,255.3222889619715,575.6851806640625,557.8273722330729,
250_600,257.8920379638672,576.465070452009,241.05640302385603,
250_600_perspective_variant,212.46406907301682,,,
300_front,355.1771327427455,343.3507643479567,,
350_front,490.53892869215747,472.0309583875868,,
350_side_variant,427.6570570203993,457.6235626220703,,
400_front,570.6590847439236,569.0199788411459,,
400_oneside_variant,564.6110026041666,,,
400_120cm_h_variant,574.8360799153646,571.8754043579102,565.808251953125,
450_front,575.1191134982639,575.6851806640625,573.9869791666666,
450_600,574.666259765625,,,
500_front,567.5572035047743,575.696647644043,574.7208374023437,553.5412292480469
500_oneside_variant,572.3572862413195,569.4487152099609,,
550_front,565.7675170898438,568.015625,,
550_oneside_variant,573.8317794799805,,,
600_front,536.2808418273926,565.5356794084821,,
600_oneside_variant,573.4633440290179,,,
