situation,z_estimation_1,z_estimation_2
150_front,72.14819635663714,
150_bodyside_variant,65.03998316251315,
150_500,61.515790939331055,228.10087046903723
200_front,92.32919144630432,
200_shaking_hands_variant,92.80792580881426,
200_400_front,89.0717625617981,180.91463156307444
200_400_sitdown,96.927661671358,177.95846557617188
200_400_sitdown_side_variant,96.62191336495536,175.53989628383093
250_front,112.64385617163873,
250_oneback_one_front_variant,112.87295395987374,
250_side_variant,113.01447892189026,
250_350,127.32198604460686,
250_500,115.56298351287842,224.48373317718506
250_600,114.03680610656738,275.51830336626836
250_600_perspective_variant,103.5812132699149,278.53746122472427
300_front,138.6045282537287,
350_front,161.375750541687,
350_side_variant,154.95636531284876,
400_front,180.647985570571,
400_oneside_variant,180.1952682495117,
400_120cm_h_variant,180.76018476486206,
450_front,203.7698017467152,
450_side_variant,198.13169370378768,
450_600,198.15914557961855,275.4628511316636
500_front,221.70535850524902,
500_oneside_variant,226.59225674333243,
550_front,252.3161818560432,
550_oneside_variant,252.9945878982544,
600_front,272.1696543974035,
600_oneside_variant,277.3411290785846,
