situation,h_estimation_1,h_estimation_2,h_estimation_3
150_a,557.2810812399962,532.233383976687,
150_b,533.4743161898448,524.2444445761419,
150_c,521.818050656656,8.72729461293514,
150_d,568.5476766897406,525.9294156722143,
150 y 500_a,575.7081569246496,535.0392556602062,
200_a,604.3558937697863,597.914596857579,
200_b,629.2640369430098,655.0464369003793,
200_c,635.5731649823689,527.2506830092328,
200 y 400_a,583.2540719915464,654.9791947908975,
200 y 400 sentados_a,432.6604043056575,218.10996854058487,
200 y 400 sentados_b,435.986826602108,217.29346495297176,
200 y 400 sentados_c,439.1026457196493,208.62487592944197,
250_a,652.0847190669646,652.7257825147858,
250_b,577.456372268226,642.9000639725887,
250_c,636.1243434909575,645.866131602687,
250_d,637.4496935223176,632.6061153369398,
250_e,628.3949032250579,642.9133177950229,
250_f,642.5257434539526,643.6271111391856,
250 y 350_a,663.1374591934452,588.8542141424455,
250 y 350_b,596.2961085915696,652.2870262909933,
250 y 500_a,514.6127500185386,648.9500629296381,
250 y 500_b,648.4510759696392,520.1748461061599,403.85298778768544
250 y 500_c,648.8688291893754,421.6702506313285,527.567289691014
250 y 600_a,660.9887167339477,455.4862946467284,
250 y 600_b,659.6432604232241,486.7042166986796,
250 y 600_c,656.745978014312,411.818549813011,
300_a,620.336603026926,621.8154949963227,
300_b,616.7627810362419,600.1583089819046,
300_c,626.4807812709489,612.7028796804236,
300_d,610.985813757001,622.4026784723012,
350_a,580.6919681147556,586.4644660041331,
350_b,435.3657214587585,593.1892998877131,
350_c,502.6629865595768,602.1426775296891,
350_d,596.8741303144325,590.730521631996,
350_e,536.3501783968462,591.3320789532489,
350_f,590.7614644112938,569.9178548626801,
350_g,591.5445561722153,580.5053563247103,
400_a,567.6666109950709,546.8891247344369,
400_b,561.4364771953256,562.260000220557,
400_c,562.760329107115,577.7269790489391,
400_d,571.8860840940577,564.5904308856994,
400_e,576.976353721552,571.5921593168148,
400_120h_a,574.9577825339142,388.1859641948114,
450_a,561.6666036356021,540.6969096901519,
450_b,555.1905252715985,544.3750732535642,
450_c,545.2101201397885,523.1924989757664,
450_d,539.1116608818821,536.4251467261353,
450_e,520.0074910419928,544.5945924354509,
450 y 600_a,556.5733129339548,479.15647839073466,
500_a,525.5002389886128,514.9989745930689,163.27246305462347
500_b,528.6415332176634,518.5635609654929,
500_c,457.46519609728597,163.09050442521539,483.9793180413676
500_d,530.9353364551158,528.7640156816797,
550_a,501.80365334812063,427.28304754693954,
550_b,498.1571061098975,508.9118058454394,
550_c,500.5584404155088,507.5529858987647,
550_d,481.3895078486265,496.23684013970046,
600_a,373.5807328249235,475.49941812663974,
600_b,490.8627240601601,483.4608765128018,
600_c,415.8178697397013,362.27236183614065,
600_d,330.6070421865805,491.86568763648256,
