situation,z_estimation_1,z_estimation_2,z_estimation_3,z_estimation_4,z_estimation_5,z_estimation_6,z_estimation_7,z_estimation_8,z_estimation_9,z_estimation_10
150_front,239.3773018110792,244.11622027239028,242.92568910794313,257.59152027040017,,,,,,
150_bodyside_variant,223.91895389121507,233.14281230570572,215.78629775278313,205.93336202768452,240.04962587754127,235.4615403182023,,,,
150_500,216.14952457473217,232.13675266123832,,,,,,,,
200_front,210.60220280654565,208.9955405994955,265.34193185864115,242.8830886358329,253.64576586576433,,,,,
200_shaking_hands_variant,210.48182600770582,223.2805234986817,257.81539176038734,259.41236548795706,257.76265468743753,,,,,
200_400_front,213.65953884806683,253.76056188654556,248.1131871252914,,,,,,,
250_front,216.5190569574189,214.85526016855746,215.74179853472793,244.90468410285573,229.7206464656297,240.28066230066042,228.0359342400818,,,
250_oneback_one_front_variant,203.3271388414107,203.18142677588244,225.48220341233156,289.88667065951677,259.51548663872495,215.17409827642254,217.85937835188307,214.73168645035966,216.21539647402696,
250_side_variant,206.3444431478529,202.53957709599482,215.19729018474942,219.07375332479137,297.1467412817816,214.58652026316716,266.40237206940856,220.9214889222976,213.92506461536894,221.0929601505187
250_350,201.8764015840778,251.1522550015729,258.5136281517807,252.38860969263376,227.39628626061912,232.53021196477553,219.94332426162546,207.54813130696616,,
250_500,205.52793511531254,296.0204795191035,300.69855443496687,287.48677132857216,218.50622101487784,236.50194955120313,219.71119564966267,,,
250_600,230.85240469463903,252.6139040845036,241.7571245622169,230.50589208285993,,,,,,
250_600_perspective_variant,207.33878039320646,270.8622850735116,227.82507640960193,216.797369930645,,,,,,
300_front,214.48105223713046,213.63616715650605,227.3889701417305,256.6407341472161,258.2947953713316,,,,,
350_front,252.11245414662716,248.58519466601592,252.93087860149896,275.0308925310136,,,,,,
350_side_variant,247.60141524607747,248.57300495222466,255.4590988421719,245.79716520334134,,,,,,
400_front,272.4717582952997,273.94181285592884,273.4297199064453,291.08354542786594,273.8418965033823,271.97904059248475,283.07314283190135,,,
400_oneside_variant,263.6602176139757,263.70809061102466,260.2807988347234,268.09961765746453,272.405732711396,293.2790070736047,259.7449368021445,276.0925885633513,256.319448996804,
400_120cm_h_variant,267.83437497828027,260.6404515557944,,,,,,,,
400_200_sitdown,215.65654149950717,261.0582065050643,253.53298488994977,240.45601950908477,243.81316739881817,,,,,
400_200_sitdown_side_variant,206.53142081278418,299.1475768284836,221.7558191483637,302.3965707245828,281.81132575517495,274.4750244643439,213.25033302370693,233.96015466147193,234.4852824047383,254.01390397933827
450_front,278.95748975861636,278.5813773206985,288.30564187410425,270.7025797950112,,,,,,
450_side_variant,,,,,,,,,,
450_600,276.38831546692745,277.0615009289627,,,,,,,,
500_front,288.7789306219843,288.70346641708306,289.48902183360804,,,,,,,
500_oneside_variant,292.30442865713513,293.7448048903055,,,,,,,,
550_front,306.6410203868938,,,,,,,,,
550_oneside_variant,306.73529468470804,,,,,,,,,
600_front,,,,,,,,,,
600_oneside_variant,,,,,,,,,,
