situation,z_estimation_1,z_estimation_2,z_estimation_3,z_estimation_4,z_estimation_5,z_estimation_6,z_estimation_7,z_estimation_8,z_estimation_9,z_estimation_10,z_estimation_11,z_estimation_12,z_estimation_13
150_front,273.3915,253.79236,258.80978,286.6759,287.3777,274.65598,282.74463,274.51147,,,,,
150_bodyside_variant,260.30194,271.63672,293.99838,251.16391,240.25858,257.71887,239.99312,249.842,274.0891,,,,
150_500,251.3364,284.35672,274.1262,,,,,,,,,,
200_front,208.99185,210.17615,232.30795,265.2988,226.51158,243.37042,254.32568,,,,,,
200_shaking_hands_variant,275.61676,297.61014,293.7933,300.98026,288.95364,,,,,,,,
200_400_front,215.2273,263.24677,257.36942,249.10081,,,,,,,,,
250_front,191.99149,,,,,,,,,,,,
250_oneback_one_front_variant,212.03294,290.98828,212.33278,245.01155,262.5992,235.68338,231.09871,232.44865,236.81935,265.60577,225.74986,224.50713,226.04578
250_side_variant,192.242,,,,,,,,,,,,
250_350,265.8384,254.1795,,,,,,,,,,,
250_500,206.75485,235.50969,304.93924,297.42883,235.1919,298.02646,254.79527,227.08911,219.40788,236.12036,,,
250_600,268.07846,280.05637,271.9201,282.44653,286.9949,299.95447,271.28766,,,,,,
250_600_perspective_variant,229.42534,242.06339,301.48154,242.42505,289.6511,254.74966,245.51837,,,,,,
300_front,274.71063,262.48145,291.55432,274.62296,291.73807,304.30753,,,,,,,
350_front,219.11267,246.55315,219.39665,285.28116,258.598,236.41083,254.15414,245.81943,239.38852,,,,
350_side_variant,203.31891,205.0108,247.56906,224.38943,239.68008,222.93442,228.41183,225.14307,,,,,
400_front,199.32726,198.466,234.30092,235.14229,221.44096,212.35094,,,,,,,
400_oneside_variant,217.69095,219.82996,239.97784,242.82181,229.97128,237.34526,,,,,,,
400_120cm_h_variant,201.32112,226.53465,,,,,,,,,,,
400_200_sitdown,215.21335,306.34158,261.28336,253.6001,239.87906,243.74782,,,,,,,
400_200_sitdown_side_variant,209.092,304.70038,306.2751,227.17458,220.20532,288.46625,218.35925,240.05437,257.078,242.2739,,,
450_front,262.43445,262.95023,248.42256,,,,,,,,,,
450_side_variant,269.13477,268.07477,261.54657,264.61575,261.32214,278.5962,273.99005,,,,,,
450_600,204.12598,235.91127,249.19368,213.47417,,,,,,,,,
500_front,203.18355,203.06741,,,,,,,,,,,
500_oneside_variant,192.06279,193.84247,,,,,,,,,,,
550_front,204.59944,203.73201,,,,,,,,,,,
550_oneside_variant,289.55774,,,,,,,,,,,,
600_front,204.89488,202.46379,211.19495,215.71571,,,,,,,,,
600_oneside_variant,202.36089,215.86931,,,,,,,,,,,
