situation,letter,person_index,depth,height
250_350_550,A,1,2241.22514073989,1020.1541137695312
250_350_550,A,2,3826.4358723958335,1113.6478576660156
250_350_550,A,3,2968.3481282552084,1293.3390197753906
250_500_350,A,1,2220.181787109375,1389.3250732421875
250_500_350,A,2,3894.9699358258927,1149.3508605957031
250_500_350,A,3,2870.3555501302085,1199.4620666503906
300_250,A,1,2844.4560546875,484.8407287597656
300_250,A,2,2127.4140462239584,1403.9786376953125
300_250,B,1,2055.040071614583,1275.9813537597656
300_250,B,2,2667.9781575520833,1366.7373657226562
300_550,A,1,2299.23344152114,667.2458801269531
300_550,A,2,3841.812288411458,1121.5398712158203
300_600_400,A,1,2723.103515625,666.0335998535156
300_600_400,A,2,3371.961612477022,475.0855178833008
300_600_400,A,3,4427.968802315848,764.5363616943359
350_600_450,A,1,2994.442692057292,989.8851013183594
350_600_450,A,2,3202.5657784598216,1186.8779754638672
350_600_450,A,3,4493.085174560547,1196.1213073730469
400_250_600,A,1,2151.66279296875,1354.7825927734375
400_250_600,A,2,3354.902572631836,957.2819519042969
400_250_600,A,3,4415.3753662109375,927.5955219268799
450_300,A,1,2611.446834788603,1345.4949645996094
450_300,A,2,3587.15224609375,1287.7532043457031
450_550_450,A,1,3701.906551585478,939.1853637695312
450_550_450,A,2,4283.662095013787,1224.7349548339844
450_550_450,A,3,3576.9923553466797,831.2262344360352
500_250,A,1,2105.0783045151657,1414.6842346191406
500_250,A,2,3950.511295572917,1192.5484313964844
500_250,B,1,4054.8014275045957,0.0
500_250,B,2,2061.089553833008,1247.5283813476562
500_500_500,A,1,3977.9759979248047,1193.4838409423828
500_500_500,A,2,3878.24013671875,1242.712646484375
500_500_500,A,3,3819.872981770833,1115.5137481689453
600_250,A,1,2136.0170036764707,1338.1961975097656
600_250,A,2,4580.064697265625,867.5170669555664
600_250,B,1,2062.734146118164,1274.4780578613281
600_250,B,2,4575.351806640625,1193.4744720458984
600_350_250,A,1,2124.432662963867,1247.7501525878906
600_350_250,A,2,4592.561896829044,895.0856781005859
600_350_250,A,3,2928.13603515625,1341.4112854003906
